input, method, guess, after_one, final, iters
1.621755e-01,withoutDiv,2.605922e+00,2.473924e+00,2.483124e+00,2
1.621755e-01,optimal_grid,2.202595e+00,2.484653e+00,2.484653e+00,1
1.621755e-01,Moroz,2.568382e+00,2.480997e+00,2.485357e+00,95
1.760780e-02,Blinn,7.746202e+00,7.540385e+00,7.536368e+00,2
1.760780e-02,QuakeIII,7.475923e+00,7.535395e+00,7.535395e+00,1
1.760780e-02,withoutDiv,7.552853e+00,7.536059e+00,7.536059e+00,1
1.760780e-02,optimal_grid,6.746199e+00,7.540905e+00,7.417212e+00,95
1.760780e-02,Moroz,7.477773e+00,7.542012e+00,7.542735e+00,95
1.106240e-01,Blinn,3.230017e+00,2.996015e+00,3.005911e+00,2
1.106240e-01,QuakeIII,3.094877e+00,3.002672e+00,3.006591e+00,2
1.106240e-01,withoutDiv,3.133342e+00,2.998471e+00,3.006566e+00,2
1.106240e-01,optimal_grid,2.730015e+00,3.007168e+00,3.007168e+00,1
1.106240e-01,Moroz,3.095802e+00,3.005310e+00,3.005310e+00,1
1.125968e-02,Blinn,1.023505e+01,9.371468e+00,9.423822e+00,3
1.125968e-02,QuakeIII,9.694487e+00,9.412285e+00,9.424016e+00,2
1.125968e-02,withoutDiv,9.848347e+00,9.394952e+00,9.423904e+00,2
1.125968e-02,optimal_grid,8.235039e+00,9.424070e+00,9.424070e+00,1
1.125968e-02,Moroz,9.698188e+00,9.420484e+00,9.432318e+00,95
4.378659e-02,Blinn,5.197658e+00,4.750795e+00,4.776996e+00,2
4.378659e-02,QuakeIII,4.927379e+00,4.771926e+00,4.778901e+00,2
4.378659e-02,withoutDiv,5.004309e+00,4.762720e+00,4.778834e+00,2
4.378659e-02,optimal_grid,4.197655e+00,4.780254e+00,4.780254e+00,1
4.378659e-02,Moroz,4.929229e+00,4.776083e+00,4.783115e+00,95
5.593378e-02,Blinn,4.420238e+00,4.227315e+00,4.227315e+00,1
5.593378e-02,QuakeIII,4.149959e+00,4.226110e+00,4.228270e+00,2
5.593378e-02,withoutDiv,4.226889e+00,4.228271e+00,4.226889e+00,0
5.593378e-02,optimal_grid,3.710117e+00,4.229245e+00,4.229245e+00,1
5.593378e-02,Moroz,4.151809e+00,4.229859e+00,4.229859e+00,1
1.881284e-01,Blinn,2.494973e+00,2.294360e+00,2.304794e+00,2
1.881284e-01,QuakeIII,2.359833e+00,2.303608e+00,2.303608e+00,1
1.881284e-01,withoutDiv,2.398299e+00,2.299868e+00,2.305520e+00,2
1.881284e-01,optimal_grid,1.997486e+00,2.304123e+00,2.304123e+00,1
1.881284e-01,Moroz,2.360759e+00,2.305616e+00,2.305616e+00,1
1.174777e-02,Blinn,9.985142e+00,9.181281e+00,9.226006e+00,3
1.174777e-02,QuakeIII,9.444583e+00,9.218371e+00,9.226177e+00,2
1.174777e-02,withoutDiv,9.598443e+00,9.203355e+00,9.226103e+00,2
1.174777e-02,optimal_grid,7.992568e+00,9.220428e+00,9.080620e+00,95
1.174777e-02,Moroz,9.448284e+00,9.226407e+00,9.226407e+00,1
2.117773e-02,Blinn,7.289251e+00,6.860186e+00,6.870925e+00,2
2.117773e-02,QuakeIII,7.018972e+00,6.866867e+00,6.871634e+00,2
2.117773e-02,withoutDiv,7.095902e+00,6.860541e+00,6.871613e+00,2
2.117773e-02,optimal_grid,6.289248e+00,6.869301e+00,6.763221e+00,95
